Time elapsed was 251290278819ns or 251.290278819s
Time elapsed was 251629081402ns or 251.629081402s
Time elapsed was 252694150864ns or 252.694150864s
Time elapsed was 251636367623ns or 251.636367623s
Time elapsed was 252186451636ns or 252.186451636s
Time elapsed was 251202399925ns or 251.202399925s
Time elapsed was 252070387840ns or 252.070387840s
Time elapsed was 251601810555ns or 251.601810555s
Time elapsed was 251188148110ns or 251.188148110s
Time elapsed was 252115763270ns or 252.115763270s
